"_SYSTEM_ID","Question External Id","Question Name"
"674daa70988336e1e9fe13cf","Q1_1733143150786","Ms. Reeta is the education officer and has thought of working on the health of the community members through students’ engagement. How should she ensure success?"
"674daa70988336e1e9fe13d5","Q2_1733143150786","Mr. Hira as the education officer as part of his duties has to channelize and monitor funds. He has realised that the schools do not share their expenses regularly. He may not receive further funds in case he fails to share the project progress and submit the expenses. What do you think he should do?"
"674daa70988336e1e9fe13db","Q3_1733143150786","Age"
"674daa70988336e1e9fe13e1","Q4_1733143150786","As the district official, one of Mr. Sanjay's objectives is to increase the enrolment of new students every year. He has to ensure that there is equal focus on genders, CwSN, and students from minority status. How should he ensure that the project running is as per the goals set?"
"674daa70988336e1e9fe13e7","Q5_1733143150786","One of the important goals set by Ms. Rekha is to improve the performance of the school teachers by sending them for various training workshops. How should she ensure that all teachers get trained uniformly across the district?"
"674daa70988336e1e9fe13ed","Q6_1733143150786","There have been few changes in the syllabus. Some of the principals and teachers are anxious as they feel that the syllabus has become difficult. How do you think Mr. Babu should as the education officer handle the situation?"
"674daa70988336e1e9fe13f3","Q7_1733143150786","Experience"
"674daa70988336e1e9fe13f9","Q8_1733143150786","Date of birth"
"674daa70988336e1e9fe13ff","Q9_1733143150786","Due to the pandemic, the progress on various initiatives has been slow. Some of the school principals are not in favour because they feel the burden is already enough due to virtual classes. How would you communicate with them to implement the initiatives?"
"674daa70988336e1e9fe1406","Q10_1733143150786","Mr. Ramesh is the education officer. He has to decide which projects he would like to initiate this year. How do you suggest he should decide?"
"674daa70988336e1e9fe140c","Q11_1733143150786","Your senior has informed you that you are required to make a few changes in the current Health plan of students. You have also been briefed with what changes have to be implemented. When and how would you involve school principals to implement these changes across all schools of your district?"
"674daa71988336e1e9fe1413","Q12_1733143150786","The new initiatives by the education department want district education officers to implement ICDS. How would you ensure that the initiatives are implemented across the district?"
"674daa71988336e1e9fe1419","Q13_1733143150786","As the education officer, you are required to create awareness for Women and Child Welfare in the district. How would you ensure awareness is brought across the district?"
"674daa71988336e1e9fe1420","Q14_1733143150786","Mr. Raju has realised that there is an increasing issue of high drop out among girls in your district. How would you handle the situation?"
"674daa71988336e1e9fe1426","Q15_1733143150786","You are working on improving the enrolment of new students in the schools of your district. You need to establish goals for the plan. What will you do?"
"674daa71988336e1e9fe142c","Q16_1733143150786","You would like to work on implementing BaLa in the schools of your district. How would you ensure that the project is a success?"
